OBJECTID,DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,SEARCH01_EN,SEARCH01_TC,SEARCH02_EN,SEARCH02_TC,SEARCH03_EN,SEARCH03_TC,SEARCH04_EN,SEARCH04_TC,SEARCH05_EN,SEARCH05_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,NSEARCH03_TC,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing
1,Government Secondary Schools,官立中學,SIR ELLIS KADOORIE SECONDARY SCHOOL (WEST KOWLOON),"22 HOI FAN ROAD , WEST KOWLOON, TAI KOK TSUI, KOWLOON.",官立嘉道理爵士中學(西九龍),九龍大角咀西九龍海帆道二十二號,CO-ED,男女,WHOLE DAY,全日,YAU TSIM MONG,油尖旺區,SECONDARY,中學,GOVERNMENT,官立,,無,25761871,25761871,28824548,28824548,http://www.seksswk.edu.hk,http://www.seksswk.edu.hk,536997000133,536997000133,820391.5,834063.9,22.32253653,114.15548095,2023-11-24T15:02:49,834063.9000000004,820391.5
2,Government Secondary Schools,官立中學,JOCKEY CLUB GOVERNMENT SECONDARY SCHOOL,2B OXFORD ROAD KOWLOON TONG KOWLOON,賽馬會官立中學,九龍塘牛津道2號B,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,SECONDARY,中學,GOVERNMENT,官立,,無,"23366761,23376868","23366761,23376868",23363479,23363479,http://www.jcgss.edu.hk,http://www.jcgss.edu.hk,510092000133,510092000133,821142,836711,22.32931533,114.18117441,2023-11-24T15:02:49,836711,821142
3,Government Secondary Schools,官立中學,SOUTH TUEN MUN GOVERNMENT SEC SCH,218 WU SHAN ROAD TUEN MUN NT,南屯門官立中學,屯門湖山路218號,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,SECONDARY,中學,GOVERNMENT,官立,,無,24045506,24045506,26183151,26183151,http://www.stmgss.edu.hk,http://www.stmgss.edu.hk,510661000133,510661000133,826021,814862,22.37324207,113.96902892,2023-11-24T15:02:49,814862,826021
4,Government Secondary Schools,官立中學,YUEN LONG PUBLIC SECONDARY SCHOOL,22 TOWN PARK ROAD SOUTH SHUI NGAU LENG YUEN LONG NT,元朗公立中學,元朗水牛嶺公園南路二十二號,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,SECONDARY,中學,GOVERNMENT,官立,,無,24762357,24762357,24747119,24747119,http://www.ylpss.edu.hk,http://www.ylpss.edu.hk,510483000133,510483000133,833441,819898,22.4403035,114.0178505,2023-11-24T15:02:49,819898,833441
5,Government Secondary Schools,官立中學,SHAU KEI WAN GOVERNMENT SECONDARY SCHOOL,42 CHAI WAN ROAD SHAUKEIWAN HONG KONG,筲箕灣官立中學,香港筲箕灣柴灣道四十二號,CO-ED,男女,WHOLE DAY,全日,EASTERN,東區,SECONDARY,中學,GOVERNMENT,官立,,無,"25603544,25604433","25603544,25604433",25689708,25689708,http://www.sgss.edu.hk,http://www.sgss.edu.hk,510440000133,510440000133,814750,842027,22.27158207,114.23275199,2023-11-24T15:02:48,842027,814750
6,Government Secondary Schools,官立中學,QUEEN'S COLLEGE,120 CAUSEWAY ROAD CAUSEWAY BAY HONG KONG,皇仁書院,銅鑼灣高士威道120號,BOYS,男,WHOLE DAY,全日,WAN CHAI,灣仔區,SECONDARY,中學,GOVERNMENT,官立,,無,25761992,25761992,28824546,28824546,http://www.qc.edu.hk,http://www.qc.edu.hk,510432000133,510432000133,815848,837758,22.28150669,114.19133234,2023-11-24T15:02:48,837758,815848
7,Government Secondary Schools,官立中學,HOMANTIN GOVERNMENT SECONDARY SCHOOL,8 PERTH STREET HOMANTIN KOWLOON,何文田官立中學,九龍何文田巴富街8號,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,SECONDARY,中學,GOVERNMENT,官立,,無,27112680,27112680,27142846,27142846,http://www.hmtgss.edu.hk,http://www.hmtgss.edu.hk,510394000133,510394000133,820228,836624,22.32106139,114.18032972,2023-11-24T15:02:48,836624,820228
8,Government Secondary Schools,官立中學,TSUEN WAN GOVERNMENT SECONDARY SCHOOL,70 HOI PA STREET TSUEN WAN NEW TERRITORIES,荃灣官立中學,荃灣海壩街70號,CO-ED,男女,WHOLE DAY,全日,TSUEN WAN,荃灣區,SECONDARY,中學,GOVERNMENT,官立,,無,"24903307,24902901","24903307,24902901",24906645,24906645,http://www.twgss.edu.hk,http://www.twgss.edu.hk,510467000133,510467000133,825947,829774,22.37269496,114.11381985,2023-11-24T15:02:48,829774,825947
9,Government Secondary Schools,官立中學,TSEUNG KWAN O GOVERNMENT SEC SCHOOL,2 KING YIN LANE TSEUNG KWAN O NT,將軍澳官立中學,將軍澳敬賢里二號,CO-ED,男女,WHOLE DAY,全日,SAI KUNG,西貢區,SECONDARY,中學,GOVERNMENT,官立,,無,27040051,27040051,27040777,27040777,http://www.tkogss.edu.hk,http://www.tkogss.edu.hk,510700000133,510700000133,820724,844769,22.32551958,114.25938838,2023-11-24T15:02:47,844769,820724
10,Government Secondary Schools,官立中學,QUEEN ELIZABETH SCHOOL,152 SAI YEE STREET MONGKOK KOWLOON,伊利沙伯中學,九龍洗衣街152號,CO-ED,男女,WHOLE DAY,全日,YAU TSIM MONG,油尖旺區,SECONDARY,中學,GOVERNMENT,官立,,無,23809621,23809621,23914949,23914949,http://www.qes.edu.hk,http://www.qes.edu.hk,510424000133,510424000133,820546,835693,22.32393307,114.17129324,2023-11-24T15:02:47,835693,820546
11,Government Secondary Schools,官立中學,NTHYK YUEN LONG DISTRICT SECONDARY SCH,123 KAU YUK ROAD YUEN LONG NT,新界鄉議局元朗區中學,元朗教育路123號,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,SECONDARY,中學,GOVERNMENT,官立,,無,24766226,24766226,24747376,24747376,http://www.nthykyldss.edu.hk,http://www.nthykyldss.edu.hk,510165000133,510165000133,833725,820395,22.44287282,114.02267568,2023-11-24T15:02:47,820395,833725
